sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,retrospective_only,used_for_ranking
112,0,True,227549,204324,-23225,0.1020659286571244,0.8913593763685732,0.9961286975587792,0.8944578969804305,candidate_000112,True,False
112,9,True,1827,21530,19703,10.784345922276957,0.046413691142869945,0.04811890385508592,0.5670498084291188,candidate_000112,True,False
113,0,True,227549,206049,-21500,0.09448514385912485,0.8983568804808959,0.9958359419361414,0.901744239702218,candidate_000113,True,False
113,9,True,1827,19851,18024,9.86535303776683,0.04643753620390037,0.04846103470857891,0.5265462506841817,candidate_000113,True,False
114,0,True,227549,209212,-18337,0.08058484106719871,0.9139311396532005,0.9968835439649734,0.9165498420120501,candidate_000114,True,False
114,9,True,1827,18295,16468,9.01368363437329,0.06061564410710521,0.06285870456408856,0.6294471811713191,candidate_000114,True,False
115,0,True,227549,217985,-9564,0.04203050771482186,0.9493428306410683,0.9953804160836754,0.953544071826288,candidate_000115,True,False
115,9,True,1827,10015,8188,4.481663929939792,0.07420174165457184,0.08167748377433849,0.44772851669403396,candidate_000115,True,False
116,0,True,227549,208734,-18815,0.08268548752136902,0.9100285880648112,0.9958415974398037,0.9134999494614346,candidate_000116,True,False
116,9,True,1827,18164,16337,8.941981390257252,0.05005777917848513,0.05246641708874697,0.5216201423097975,candidate_000116,True,False
117,0,True,227549,205549,-22000,0.09668247278608123,0.8965746766042793,0.9960641988041781,0.8997622490101033,candidate_000117,True,False
117,9,True,1827,20011,18184,9.952928297755884,0.04854275699812743,0.05052221278296937,0.5533661740558292,candidate_000117,True,False
118,0,True,227549,204156,-23393,0.10280423117658175,0.8904828842557925,0.9960422422069398,0.8936448852774567,candidate_000118,True,False
118,9,True,1827,22314,20487,11.213464696223317,0.04388999394620773,0.045487138119566194,0.5555555555555556,candidate_000118,True,False
119,0,True,227549,211285,-16264,0.07147471533603751,0.9198351554604753,0.995125068036065,0.9239987870744323,candidate_000119,True,False
119,9,True,1827,14879,13052,7.143951833607006,0.0498334694903538,0.053296592512937696,0.4340448823207444,candidate_000119,True,False
120,0,True,227549,209735,-17814,0.07828643500960233,0.9141176264598253,0.9956945669535366,0.9177451889483145,candidate_000120,True,False
120,9,True,1827,15753,13926,7.622331691297209,0.05528543129839726,0.05846505427537612,0.5041050903119869,candidate_000120,True,False
121,0,True,227549,207342,-20207,0.08880285125401562,0.9048184274958281,0.9963249124634661,0.9078484194613028,candidate_000121,True,False
121,9,True,1827,19941,18114,9.914614121510674,0.051391035548686244,0.05335740434281129,0.5823754789272031,candidate_000121,True,False
122,0,True,227549,212117,-15432,0.06781836000158208,0.9241737273300189,0.9955354827760151,0.9280198990107625,candidate_000122,True,False
122,9,True,1827,15054,13227,7.239737274220033,0.054074305338744924,0.05752623887338913,0.47400109469074986,candidate_000122,True,False
123,0,True,227549,210392,-17157,0.07539914479958162,0.916615973076233,0.9954941252519107,0.9204347195549091,candidate_000123,True,False
123,9,True,1827,16123,14296,7.824849480021894,0.050567716258925435,0.053588041927680956,0.4729064039408867,candidate_000123,True,False
124,0,True,227549,212559,-14990,0.06587592123015262,0.9269092517108068,0.9959917011276869,0.9303798302783137,candidate_000124,True,False
124,9,True,1827,15499,13672,7.483305966064587,0.05962938046602654,0.06290728434092523,0.5336617405582923,candidate_000124,True,False
125,0,True,227549,213186,-14363,0.06312047075574931,0.9284892294094225,0.9953561678534237,0.932528817968877,candidate_000125,True,False
125,9,True,1827,14181,12354,6.761904761904762,0.055101502768257316,0.058952119032508285,0.4575807334428024,candidate_000125,True,False
126,0,True,227549,207502,-20047,0.08809970599738957,0.9043348084726399,0.995643415485152,0.9079275233026732,candidate_000126,True,False
126,9,True,1827,18648,16821,9.206896551724139,0.04710033752684872,0.04938867438867439,0.5041050903119869,candidate_000126,True,False
127,0,True,227549,213812,-13737,0.06036941493919991,0.9312790712938612,0.9953978261276262,0.93530624173255,candidate_000127,True,False
127,9,True,1827,12717,10890,5.960591133004926,0.06145088308276164,0.06621058425729338,0.4608648056923919,candidate_000127,True,False
128,0,True,227549,213927,-13622,0.05986402928599994,0.9325095098644325,0.9958023063942373,0.9361895679611864,candidate_000128,True,False
128,9,True,1827,12955,11128,6.090859332238643,0.06659932174038531,0.07124662292551139,0.50519978106185,candidate_000128,True,False
129,0,True,227549,213310,-14239,0.06257553318186412,0.9300705729896329,0.9959354929445408,0.9336142984587935,candidate_000129,True,False
129,9,True,1827,15691,13864,7.588396278051451,0.05785024154589372,0.06105410745013065,0.5243568691844553,candidate_000129,True,False
130,0,True,227549,211194,-16355,0.07187462920074357,0.9211516146688561,0.9960889040408345,0.9244953834119245,candidate_000130,True,False
130,9,True,1827,16426,14599,7.990695128626163,0.056919513607411695,0.05984414951905516,0.5380405035577449,candidate_000130,True,False
131,0,True,227549,211071,-16478,0.07241517211677485,0.9201758110906328,0.9958402622814124,0.9237263182874897,candidate_000131,True,False
131,9,True,1827,17004,15177,8.307060755336618,0.05307012638407337,0.05581039755351682,0.5194307608100711,candidate_000131,True,False
132,0,True,227549,197180,-30369,0.13346136436547731,0.8624788967089829,0.997484531899787,0.864358885338982,candidate_000132,True,False
132,9,True,1827,27450,25623,14.024630541871922,0.04051604648683228,0.041530054644808745,0.6239737274220033,candidate_000132,True,False
133,0,True,227549,207056,-20493,0.09005972340023467,0.9030739589263038,0.9960348891121242,0.906332262501703,candidate_000133,True,False
133,9,True,1827,19547,17720,9.69896004378763,0.045950574993883046,0.04803806210671714,0.5139573070607554,candidate_000133,True,False
134,0,True,227549,206723,-20826,0.09152314446558764,0.9008583521914024,0.9955882993184116,0.9044689275716439,candidate_000134,True,False
134,9,True,1827,20664,18837,10.310344827586206,0.04231161368060061,0.0441831204026326,0.4997263273125342,candidate_000134,True,False
135,0,True,227549,219256,-8293,0.03644489758249871,0.9560848969871026,0.9960365964899478,0.9597361447424511,candidate_000135,True,False
135,9,True,1827,9530,7703,4.216201423097975,0.08887823585810163,0.09727177334732424,0.5073891625615764,candidate_000135,True,False
136,0,True,227549,212777,-14772,0.06491788581799963,0.9277286716838063,0.9959206117202517,0.9312675511648041,candidate_000136,True,False
136,9,True,1827,15804,13977,7.650246305418719,0.05752159309021113,0.06068084029359656,0.524904214559387,candidate_000136,True,False
137,0,True,227549,208914,-18635,0.08189444910766472,0.9117037724857759,0.9963525661276889,0.9147568216076537,candidate_000137,True,False
137,9,True,1827,18603,16776,9.182266009852217,0.0543427775197399,0.05660377358490566,0.5763546798029556,candidate_000137,True,False
138,0,True,227549,214083,-13466,0.05917846266078954,0.9344795111588077,0.9965153702068824,0.9375431225801916,candidate_000138,True,False
138,9,True,1827,14134,12307,6.736179529282977,0.06984382331255445,0.07372293759728314,0.5703338806787083,candidate_000138,True,False
139,0,True,227549,208780,-18769,0.08248333326008904,0.9101630732187808,0.9958041958041958,0.9136669464598833,candidate_000139,True,False
139,9,True,1827,17684,15857,8.679255610290094,0.05112595625471393,0.05366432933725401,0.5194307608100711,candidate_000139,True,False
140,0,True,227549,212851,-14698,0.06459268113681009,0.9271920496763946,0.9954428215042448,0.9311445007448945,candidate_000140,True,False
140,9,True,1827,15343,13516,7.39792008757526,0.0525347882057255,0.05585609072541224,0.4690749863163656,candidate_000140,True,False
