sample_group,sample_index,binary_sha256,target_voxel_count,predicted_voxels,true_positive_voxels,false_positive_voxels,false_negative_voxels,precision,recall,iou,centroid_distance
retained,82,dfa1e4804b323d6359cad0213b41c46fe1dd85c36389a9d48f9fab410d158444,5252,5252,394,4858,8574,0.07501904036557502,0.04393398751115076,0.02849703457254448,9.993861198425293
retained,83,f0e52b41f87115867ea1dd654887f73b9543e69be44970b75beb9f4f547730ec,5192,5192,369,4823,8599,0.0710708782742681,0.04114629794826048,0.026756580378507724,9.4551420211792
retained,84,be8a975e0e271607ac6284cc4e365adde1e74bb868936735c808bb32f0887b5a,5420,5420,359,5061,8609,0.06623616236162362,0.04003122212310437,0.025589849597262813,9.593917846679688
retained,85,63bfc72381825736aff67a3f268bc2eb45e3be59210d5b2c911873cfafbf552e,5597,5597,346,5251,8622,0.06181883151688405,0.03858162355040143,0.024333638089879737,9.496867179870605
retained,86,f095f7b26a35e8d831c008c94cd29a3861de5bd03ecd6bb3b9d39812c16069d4,5660,5660,361,5299,8607,0.06378091872791519,0.04025423728813559,0.02530314712273078,8.380314826965332
retained,87,290817299301e9574f0a07a03a69bd61bb85398deb989f47cb527b083ee1e8cb,5101,5101,356,4745,8612,0.06979023720839052,0.03969669937555754,0.02596076715525414,7.568493366241455
retained,88,4463265ae7fe2116a223afee86663a5287cc7b9af373140e3f47e7695c80140b,4966,4966,312,4654,8656,0.06282722513089005,0.03479036574487065,0.0229041256790486,7.132182598114014
retained,89,a109edd673b10b62701d7a6d28d1f977727096945002bdbf5f9b2c56cd713246,4817,4817,302,4515,8666,0.06269462320946648,0.03367528991971454,0.022398575984573166,7.179676055908203
retained,90,7cf6c37a7e53dc8096496586a25319b9ee5fb304f65ae2c8a4b188e04815f89c,4599,4599,275,4324,8693,0.05979560774081322,0.03066458519179304,0.02068913632260006,7.4255852699279785
retained,91,5de2394d1b579d96c8b63165fcf3200abe517df7961eb349ceae939e16959458,4650,4650,278,4372,8690,0.05978494623655914,0.030999107939339875,0.020839580209895053,6.780130863189697
retained,92,1e2999e1aafa1fce2f0bc8f11ecae2114991bac0940926af8e496a605e7b31e7,4623,4623,253,4370,8715,0.05472636815920398,0.0282114183764496,0.01896836107362423,7.491024017333984
retained,93,458abfff41d45dc79e718989e2d7319a54a6bac823d285bfddc67052afa7083a,4657,4657,280,4377,8688,0.06012454369765944,0.031222123104371096,0.02098164106406894,7.303194522857666
retained,94,edc03c056f338a2fd20af91fb29c1bccfc3f29ba169a0aa281d1c801186fce6d,4119,4119,277,3842,8691,0.06724933236222384,0.030887600356824266,0.021623731459797034,7.856005668640137
retained,95,68678629d09304f4d59446735916de5f3d8821a0c428d0aea05dd2a8dc841a54,3994,3994,266,3728,8702,0.06659989984977466,0.029661016949152543,0.020951480781348456,7.63735294342041
