sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,variant
6,12,False,0,15673,15673,nan,0.0,0.0,nan,inverted
6,13,True,15,50,35,2.3333333333333335,0.0,0.0,0.0,inverted
7,0,False,0,38,38,nan,0.0,0.0,nan,prior
7,1,True,45273,33679,-11594,0.2560908267620878,0.44083509745236876,0.7172421984025654,0.533563050824995,prior
7,2,True,24520,21623,-2897,0.11814845024469821,0.6806162587412588,0.8642186560606762,0.7621125611745514,prior
7,3,True,14533,6310,-8223,0.5658157297185715,0.18932952924393723,0.5258320126782884,0.2283079887153375,prior
7,4,True,73801,95155,21354,0.2893456728228615,0.5417522151350069,0.6239188692133887,0.8044470942128156,prior
7,5,True,18902,34667,15765,0.8340387260607343,0.2862631161908421,0.3439005394178902,0.6307269072055867,prior
7,6,True,11543,16,-11527,0.9986138785411072,0.001212646167171936,0.875,0.001212856276531231,prior
7,7,False,0,4,4,nan,0.0,0.0,nan,prior
7,8,False,0,3,3,nan,0.0,0.0,nan,prior
7,9,True,8968,5324,-3644,0.4063336306868867,0.017224199288256227,0.045454545454545456,0.026984834968777877,prior
7,10,False,0,25,25,nan,0.0,0.0,nan,prior
7,11,False,0,711,711,nan,0.0,0.0,nan,prior
7,12,False,0,0,0,nan,nan,nan,nan,prior
7,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
7,0,False,0,11,11,nan,0.0,0.0,nan,inverted
7,1,True,45273,26520,-18753,0.4142203962626731,0.4002925687536571,0.773868778280543,0.45331654628586576,inverted
7,2,True,24520,19717,-4803,0.19588091353996737,0.628036213749448,0.8654967794289192,0.6959624796084829,inverted
7,3,True,14533,8346,-6187,0.42572077341223424,0.1418376004391875,0.3405224059429667,0.19555494392073214,inverted
7,4,True,73801,75201,1400,0.018969932656739068,0.5484105623045028,0.7017592851158894,0.7150716114957791,inverted
7,5,True,18902,20729,1827,0.09665643847211935,0.2678674259389596,0.40392686574364417,0.44296899798963074,inverted
7,6,True,11543,2565,-8978,0.7777874036212423,0.011688777339548225,0.0635477582846004,0.014121112362470762,inverted
7,7,False,0,1420,1420,nan,0.0,0.0,nan,inverted
7,8,False,0,5695,5695,nan,0.0,0.0,nan,inverted
7,9,True,8968,2098,-6870,0.766057091882248,0.009211126310989512,0.048141086749285036,0.011262265834076718,inverted
7,10,False,0,2280,2280,nan,0.0,0.0,nan,inverted
7,11,False,0,14445,14445,nan,0.0,0.0,nan,inverted
7,12,False,0,18505,18505,nan,0.0,0.0,nan,inverted
7,13,True,15,23,8,0.5333333333333333,0.0,0.0,0.0,inverted
8,0,False,0,586,586,nan,0.0,0.0,nan,prior
8,1,True,45273,30715,-14558,0.32156031188567136,0.42909802151508314,0.742829236529383,0.5039648355531995,prior
8,2,True,24520,21482,-3038,0.12389885807504078,0.7104930467762326,0.8894888744064798,0.7792822185970636,prior
8,3,True,14533,8625,-5908,0.40652308539186677,0.24861163530490107,0.534608695652174,0.3172779192183307,prior
8,4,True,73801,99892,26091,0.3535317949621279,0.5336182311027133,0.6050134144876467,0.8189048928876302,prior
8,5,True,18902,31170,12268,0.6490318484816422,0.2543400385781207,0.32572986846326596,0.5371389270976616,prior
8,6,True,11543,78,-11465,0.9932426578878975,0.0057988575385148,0.8589743589743589,0.005804383609113749,prior
8,7,False,0,2,2,nan,0.0,0.0,nan,prior
8,8,False,0,1,1,nan,0.0,0.0,nan,prior
8,9,True,8968,4698,-4270,0.47613737734165923,0.06715602061533656,0.18305661983822905,0.09589652096342552,prior
8,10,False,0,153,153,nan,0.0,0.0,nan,prior
8,11,False,0,153,153,nan,0.0,0.0,nan,prior
