scope,hard_loss_rank_quintile,interpretation,count,hard_delta_min,hard_delta_median,hard_delta_max,score_min,score_p05,score_median,score_p95,score_max
arm:native_seed20260808/wrong_case_observation,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,-0.00012703239917755127,0.0005908766761422157,0.0007632710039615631,3.177033431711607e-05,3.2448157980979886e-05,4.111373709747568e-05,7.956791960168627e-05,8.661019091960043e-05
arm:native_seed20260808/wrong_case_observation,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.000765528529882431,0.0009292177855968475,0.0010615456849336624,3.177033431711607e-05,3.203439264325425e-05,4.111378439120017e-05,6.900660810060799e-05,8.151991642080247e-05
arm:native_seed20260808/wrong_case_observation,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.001061752438545227,0.0012206481769680977,0.00137358158826828,3.216757977497764e-05,3.267769352532923e-05,3.970230318373069e-05,6.900660810060799e-05,8.122159488266334e-05
arm:native_seed20260808/wrong_case_observation,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0013760905712842941,0.00153376255184412,0.001750010997056961,3.177033431711607e-05,3.279348911746638e-05,3.9302336517721415e-05,8.122159488266334e-05,8.122159488266334e-05
arm:native_seed20260808/wrong_case_observation,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0017556194216012955,0.0021300166845321655,0.003398669883608818,3.177033431711607e-05,3.2768361052148975e-05,4.04303937102668e-05,8.122159488266334e-05,9.151024278253317e-05
arm:native_seed20260808/zero,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00031026266515254974,0.0028233358170837164,0.004178552073426545,0.0,0.0,3.0336090276250616e-05,4.148591815464896e-05,4.439776603248902e-05
arm:native_seed20260808/zero,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0041816235752776265,0.004823201219551265,0.0051592831732705235,0.0,0.0,0.0,0.0,2.9667427952517755e-05
arm:native_seed20260808/zero,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0051629707450047135,0.005520282662473619,0.0059481082716956735,0.0,0.0,0.0,0.0,0.0
arm:native_seed20260808/zero,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.005950937629677355,0.006209956598468125,0.006596783292479813,0.0,0.0,0.0,0.0,0.0
arm:native_seed20260808/zero,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.006637759623117745,0.007112625637091696,0.008157858741469681,0.0,0.0,0.0,0.0,0.0
arm:native_seed20260809/correct,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0001472383737564087,0.0006346534937620163,0.000811457633972168,3.218443089281209e-05,3.23177344398573e-05,4.467341750569176e-05,7.675632587051946e-05,9.778767707757652e-05
arm:native_seed20260809/correct,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0008184220641851425,0.0009995624423027039,0.0011456739157438278,3.218442725483328e-05,3.234667001379421e-05,4.55718363809865e-05,7.275344978552312e-05,8.378603524761274e-05
arm:native_seed20260809/correct,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0011461526155471802,0.0012355763465166092,0.0013867337256669998,3.2317719160346314e-05,3.240071582695236e-05,4.118134893360548e-05,6.44840401946567e-05,7.275344978552312e-05
arm:native_seed20260809/correct,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0013877805322408676,0.0015773922204971313,0.0018108170479536057,3.218442725483328e-05,3.234667983633699e-05,3.693367398227565e-05,7.275344978552312e-05,7.808303780620918e-05
arm:native_seed20260809/correct,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0018122810870409012,0.0021024812012910843,0.003445792943239212,3.218442725483328e-05,3.2317723162123e-05,4.069632450409699e-05,6.44840401946567e-05,7.275344978552312e-05
arm:native_seed20260809/shuffled_xy,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00015574507415294647,0.0007987832650542259,0.00098416768014431,6.631906671827892e-06,6.634357305301819e-06,7.808601367287338e-06,4.205607765470631e-05,4.660965714720078e-05
arm:native_seed20260809/shuffled_xy,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0009850375354290009,0.0011553186923265457,0.0012606047093868256,6.631906671827892e-06,6.652269348705886e-06,7.190813676061225e-06,3.634223976405337e-05,3.772332638618536e-05
arm:native_seed20260809/shuffled_xy,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0012645218521356583,0.0014335932210087776,0.0016123857349157333,6.634357305301819e-06,6.649413080594968e-06,7.345269295910839e-06,3.804489915637532e-05,4.204235665383749e-05
arm:native_seed20260809/shuffled_xy,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0016129091382026672,0.0018031653016805649,0.0020257048308849335,6.633964403590653e-06,6.642575499427039e-06,7.122817805793602e-06,3.284009671915552e-05,4.869175609201193e-05
arm:native_seed20260809/shuffled_xy,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002028483897447586,0.0023457007482647896,0.0031041856855154037,6.631906671827892e-06,6.641058917011833e-06,7.1419931373384316e-06,9.885829967970494e-06,5.044728095526807e-05
arm:native_seed20260809/wrong_case_observation,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00026880018413066864,0.0006971154361963272,0.00087017472833395,2.9982373234815896e-05,3.0321170925162733e-05,3.6864828871330246e-05,5.934922210144575e-05,7.574271148769185e-05
arm:native_seed20260809/wrong_case_observation,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0008711731061339378,0.0010322164744138718,0.0011875806376338005,2.9640843422384933e-05,3.020928670594003e-05,3.534528332238551e-05,5.409678778960368e-05,7.109905709512532e-05
