case_id,observation_kind,observation_group,trace_index,generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,canonical_center_score,hard_rmse,hard_delta_rmse_vs_parent,hard_delta_rmse_vs_empty,hard_improves_parent,hard_improves_empty,condition_violations,shape,material_label,size_x,size_y,size_z,orientation_deg,truth_used
analytic_five_body,correct,correct,31,1,g001_p000030_empty,empty,g001_b7e43f1d75130653_0000,30,11.0,40.0,21.0,4.9791400670073926e-05,0.011883020401000977,0.002997196279466152,0.002997196279466152,False,False,0,dike_hemisphere,9,10.931472645888741,10.382683606138892,6.273296075862198,23.109184532493337,False
analytic_five_body,correct,correct,32,1,g001_p000031_empty,empty,g001_b7e43f1d75130653_0000,31,11.0,43.0,21.0,4.9791400670073926e-05,0.01006285846233368,0.0011770343407988548,0.0011770343407988548,False,False,0,dike_hemisphere,9,6.609889496762972,9.372426072185188,11.012213270905512,124.44187828219665,False
analytic_five_body,correct,correct,33,1,g001_p000032_empty,empty,g001_b7e43f1d75130653_0000,32,39.0,41.0,39.0,4.7225028538377956e-05,0.012688230723142624,0.0038024066016077995,0.0038024066016077995,False,False,0,ellipsoid,9,11.3959386872924,15.965647437697456,12.79548731684428,55.25495035585992,False
analytic_five_body,correct,correct,34,1,g001_p000033_empty,empty,g001_b7e43f1d75130653_0000,33,39.0,42.0,39.0,4.7225028538377956e-05,0.010640165768563747,0.001754341647028923,0.001754341647028923,False,False,0,dike_hemisphere,9,10.208988122002012,7.844562040767961,8.691293616186567,143.19978604127047,False
analytic_five_body,correct,correct,35,1,g001_p000034_empty,empty,g001_b7e43f1d75130653_0000,34,41.0,39.0,39.0,4.7225028538377956e-05,0.010876876302063465,0.0019910521805286407,0.0019910521805286407,False,False,0,ellipsoid,9,10.620766067961842,9.114811716998187,11.282499142412842,157.45947639507557,False
analytic_five_body,correct,correct,36,1,g001_p000035_empty,empty,g001_b7e43f1d75130653_0000,35,41.0,44.0,39.0,4.7225028538377956e-05,0.01260268036276102,0.0037168562412261963,0.0037168562412261963,False,False,0,dike_hemisphere,9,15.114700163832424,11.621816942283544,13.22246284030209,178.50468683093086,False
analytic_five_body,correct,correct,37,1,g001_p000036_empty,empty,g001_b7e43f1d75130653_0000,36,42.0,39.0,39.0,4.722502490039915e-05,0.010971220210194588,0.0020853960886597633,0.0020853960886597633,False,False,0,dike_hemisphere,9,11.987560962201881,7.290780726396496,12.324730663072561,124.1237304614537,False
analytic_five_body,correct,correct,38,1,g001_p000037_empty,empty,g001_b7e43f1d75130653_0000,37,42.0,44.0,39.0,4.722502490039915e-05,0.010420776903629303,0.0015349527820944786,0.0015349527820944786,False,False,0,ellipsoid,9,6.280125722527684,14.99211715241777,9.138252779330927,109.21714624205705,False
analytic_five_body,correct,correct,39,1,g001_p000038_empty,empty,g001_b7e43f1d75130653_0000,38,44.0,41.0,39.0,4.722502490039915e-05,0.011177114211022854,0.0022912900894880295,0.0022912900894880295,False,False,0,dike_hemisphere,9,9.677201001023281,10.507576242178114,8.23446700254383,74.11549294220575,False
analytic_five_body,correct,correct,40,1,g001_p000039_empty,empty,g001_b7e43f1d75130653_0000,39,44.0,42.0,39.0,4.722502126242034e-05,0.013103118166327477,0.004217294044792652,0.004217294044792652,False,False,0,dike_hemisphere,9,13.010901586496999,15.814244091845861,7.927856431053774,106.85754356051324,False
analytic_five_body,correct,correct,41,1,g001_p000040_empty,empty,g001_b7e43f1d75130653_0000,40,7.0,41.0,21.0,4.719778735307045e-05,0.012451423332095146,0.003565599210560322,0.003565599210560322,False,False,0,dike_hemisphere,9,13.527499137333304,15.725571999552823,10.760084367370052,113.2905653951444,False
analytic_five_body,correct,correct,42,1,g001_p000041_empty,empty,g001_b7e43f1d75130653_0000,41,7.0,42.0,21.0,4.719778735307045e-05,0.01078247744590044,0.0018966533243656158,0.0018966533243656158,False,False,0,ellipsoid,9,7.854317783486196,14.439095852435525,9.705885407693115,154.53250232778123,False
analytic_five_body,correct,correct,43,1,g001_p000042_empty,empty,g001_b7e43f1d75130653_0000,42,9.0,39.0,21.0,4.719778735307045e-05,0.010100663639605045,0.001214839518070221,0.001214839518070221,False,False,0,dike_hemisphere,9,6.74582568363211,8.817985642329628,12.199774017905336,45.14251231531185,False
analytic_five_body,correct,correct,44,1,g001_p000043_empty,empty,g001_b7e43f1d75130653_0000,43,9.0,44.0,21.0,4.719778735307045e-05,0.012383156456053257,0.0034973323345184326,0.0034973323345184326,False,False,0,ellipsoid,9,14.694905421238037,13.434483924612586,10.191159308776573,56.28451642053706,False
