source_label,destination_label,changed_voxels,condition_violation_count,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae
9,5,8955,0,3.2714474201202393,0.018087143078446388,0.0020045472774654627,3.2714474201202393,0.0020045472774654627
9,6,8955,0,3.7467498779296875,0.01935652270913124,0.0019271818455308676,3.7467498779296875,0.0019271818455308676
9,7,8955,0,5.332038402557373,0.023091206327080727,0.002780152950435877,5.332038402557373,0.002780152950435877
9,8,8955,0,4.124986171722412,0.020310061052441597,0.0024497532285749912,4.124986171722412,0.0024497532285749912
9,10,8955,0,3.5776584148406982,0.01891469769179821,0.0017572641372680664,3.5776584148406982,0.0017572641372680664
9,11,8955,0,3.2603378295898438,0.01805640384554863,0.0021643750369548798,3.2603378295898438,0.0021643750369548798
9,12,8955,0,3.1299262046813965,0.01769159734249115,0.0020419082138687372,3.1299262046813965,0.0020419082138687372
9,13,8955,0,5.405182361602783,0.023249046877026558,0.0028098493348807096,5.405182361602783,0.0028098493348807096
13,0,15,0,0.01724802702665329,0.001313317334279418,1.3779123946733307e-05,0.01724802702665329,1.3779123946733307e-05
13,1,15,0,0.022667881101369858,0.0015055857365950942,1.5689596693846397e-05,0.022667881101369858,1.5689596693846397e-05
13,2,15,0,0.06032754108309746,0.0024561663158237934,2.623338150442578e-05,0.06032754108309746,2.623338150442578e-05
13,3,15,0,0.05940283089876175,0.0024372695479542017,2.738832336035557e-05,0.05940283089876175,2.738832336035557e-05
13,4,15,0,0.056531358510255814,0.0023776323068886995,2.78995321423281e-05,0.056531358510255814,2.78995321423281e-05
13,5,15,0,0.057397134602069855,0.002395769814029336,2.8539638151414692e-05,0.057397134602069855,2.8539638151414692e-05
13,6,15,0,0.05993159860372543,0.002448093146085739,3.0121034797048196e-05,0.05993159860372543,3.0121034797048196e-05
13,7,15,0,0.00396574055776,0.000629741232842207,6.4270002440025564e-06,0.00396574055776,6.4270002440025564e-06
13,8,15,0,0.05060502886772156,0.002249556127935648,2.3985039661056362e-05,0.05060502886772156,2.3985039661056362e-05
13,9,15,0,0.07405911386013031,0.002721380442380905,3.426100738579407e-05,0.07405911386013031,3.426100738579407e-05
13,10,15,0,0.06293865293264389,0.002508757868781686,3.117628875770606e-05,0.06293865293264389,3.117628875770606e-05
13,11,15,0,0.0576510950922966,0.0024010641500353813,2.7546551791601814e-05,0.0576510950922966,2.7546551791601814e-05
13,12,15,0,0.05569984391331673,0.002360081532970071,2.8035481591359712e-05,0.05569984391331673,2.8035481591359712e-05
